id_lien,trafic_max,trafic_out,tdc,equipement,interface_equipement,role_A,configuration_A,client,interface_client,role_B,configuration_B,capacite_lien,isis_level,isis_metric,region_exploitation,date,intervalle_charge
PTN00651_PTN00042,14.909796875,2.0424161376953127,37.274492187499995,PTN00651,lag-22,B,7750-SR7,PTN00042,lag-22,B,7750-SR7,40,1,10,MED,2022-08-01,Inf 70%
PTN00651_PTN00042,14.909796875,2.0424161376953127,37.274492187499995,PTN00651,lag-22,B,7750-SR7,PTN00042,lag-22,B,7750-SR7,40,1,10,MED,2022-08-01,Inf 70%
PTN00651_PTN00042,14.909796875,2.0424161376953127,37.274492187499995,PTN00651,lag-22,B,7750-SR7,PTN00042,lag-22,B,7750-SR7,40,1,10,MED,2022-08-01,Inf 70%
PTN00651_PTN00042,14.909796875,2.0424161376953127,37.274492187499995,PTN00651,lag-22,B,7750-SR7,PTN00042,lag-22,B,7750-SR7,40,1,10,MED,2022-08-01,Inf 70%
PTN00256_PTN00920,10.93175,10.93175,54.65875,PTN00256,lag-23,A,7750-SR12,PTN00920,lag-23,A,7750-SR12,20,1,10,SWT,2022-08-01,Inf 70%
PTN00256_PTN00920,10.93175,10.93175,54.65875,PTN00256,lag-23,A,7750-SR12,PTN00920,lag-23,A,7750-SR12,20,1,10,SWT,2022-08-01,Inf 70%
PTN00645_PTN00894,2.64229296875,2.64229296875,6.605732421875,PTN00645,lag-20,B,7750-SR7,PTN00894,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00645_PTN00894,2.64229296875,2.64229296875,6.605732421875,PTN00645,lag-20,B,7750-SR7,PTN00894,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00645_PTN00894,2.64229296875,2.64229296875,6.605732421875,PTN00645,lag-20,B,7750-SR7,PTN00894,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00645_PTN00894,2.64229296875,2.64229296875,6.605732421875,PTN00645,lag-20,B,7750-SR7,PTN00894,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00015_PTN00016,5.17386474609375,1.0627191162109375,25.86932373046875,PTN00015,lag-22,A,7750-SR12,PTN00016,lag-22,A,7750-SR12,20,1,10,IDF,2022-08-01,Inf 70%
PTN00015_PTN00016,5.17386474609375,1.0627191162109375,25.86932373046875,PTN00015,lag-22,A,7750-SR12,PTN00016,lag-22,A,7750-SR12,20,1,10,IDF,2022-08-01,Inf 70%
PTN00048_PTN00047,0.06446524810791016,0.02028094482421875,0.2148841603597005,PTN00048,lag-20,B,7750-SR7,PTN00047,lag-20,B,7750-SR7,30,1,10,IDF,2022-08-01,Inf 70%
PTN00048_PTN00047,0.06446524810791016,0.02028094482421875,0.2148841603597005,PTN00048,lag-20,B,7750-SR7,PTN00047,lag-20,B,7750-SR7,30,1,10,IDF,2022-08-01,Inf 70%
PTN00048_PTN00047,0.06446524810791016,0.02028094482421875,0.2148841603597005,PTN00048,lag-20,B,7750-SR7,PTN00047,lag-20,B,7750-SR7,30,1,10,IDF,2022-08-01,Inf 70%
PTN00458_PTN00461,7.29809228515625,7.29809228515625,24.326974283854167,PTN00458,lag-21,B,7750-SR7,PTN00461,lag-21,B,7750-SR7,30,1,10,MED,2022-08-01,Inf 70%
PTN00458_PTN00461,7.29809228515625,7.29809228515625,24.326974283854167,PTN00458,lag-21,B,7750-SR7,PTN00461,lag-21,B,7750-SR7,30,1,10,MED,2022-08-01,Inf 70%
PTN00458_PTN00461,7.29809228515625,7.29809228515625,24.326974283854167,PTN00458,lag-21,B,7750-SR7,PTN00461,lag-21,B,7750-SR7,30,1,10,MED,2022-08-01,Inf 70%
PTN01236_PTN00057,6.361600011587143e-05,6.361600011587143e-05,0.0003180800005793572,PTN01236,lag-26,B,7750-SR7,PTN00057,lag-26,B,7750-SR7,20,1,50,CTA,2022-08-01,Inf 70%
PTN01236_PTN00057,6.361600011587143e-05,6.361600011587143e-05,0.0003180800005793572,PTN01236,lag-26,B,7750-SR7,PTN00057,lag-26,B,7750-SR7,20,1,50,CTA,2022-08-01,Inf 70%
PTN00612_PTN000251,15.5764404296875,2.886154296875,38.94110107421875,PTN00612,lag-21,B,7750-SR7,PTN000251,lag-21,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00612_PTN000251,15.5764404296875,2.886154296875,38.94110107421875,PTN00612,lag-21,B,7750-SR7,PTN000251,lag-21,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00612_PTN000251,15.5764404296875,2.886154296875,38.94110107421875,PTN00612,lag-21,B,7750-SR7,PTN000251,lag-21,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00612_PTN000251,15.5764404296875,2.886154296875,38.94110107421875,PTN00612,lag-21,B,7750-SR7,PTN000251,lag-21,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
