nom_equipement,port,interface_netwk,isis_level,isis_metric
PTN00343,4/2/1,TO_PTN00461_2/2/1,1,1000
PTN00110,2/1/8,TO_PTN01077_LAG24,1,10
PTN00196,8/1/4,TO_PTN00546_LAG23,1,10
PTN01131,1/5/2,TO_PTN00609_3/2/5,1,1000
PTN01445,2/1/3,TO_PTN00120_LAG21,1,10
PTN00057,3/1/3,TO_PTN00059_LAG20,1,11
PTN02362,1/1/7,TO_PTN00682_3/2/11,NA,NA
PTN00690,2/2/1,TO_PTN00282_4/2/1,1,100
PTN01335,1/1/7,TO_PTN02350_1/6/1,1,10000
PTN00005,2/1/1,TO_PTN00010_LAG24_WDM_FTTA,1,10
PTN00056,10/1/4,TO_PTN00066_LAG22_WDM_FTTA,1,10
PTN02351,1/1/1,TO_PTN02351_1/1/1,NA,NA
PTN00248,2/1/3,TO_PTN00249_LAG20_WDM_FTTA,1,10
PTN00446,2/2/1,TO_PTN00448_4/1/1,1,180
PTN01453,1/3/1,TO_PTN00146_4/1/1,NA,NA
PTN00136,4/1/1,TO_PTN00039_3/2/1,1,110
PTN00489,1/7/7,TO_PTN00484_4/1/13,1,1000
PTN00327,5/1/21,TO_PTN00781_1/1/7,NA,NA
PTN01453,1/1/1,TO_PTN00146_3/2/1,1,100
PTN00560,3/2/20,TO_PTN00726_1/1/7,NA,NA
PTN00486,3/1/1,TO_PTN02373_LAG-23,1,10
PTN00608,3/2/8,TO_PTN01875_1/1/8,1,100
PTN00034,1/1/4,TO_PTN00035_LAG_20,1,40
PTN02258,1/1/1,TO_PTN00004_6/2/6,NA,NA
PTN00335,5/1/11,TO_PTN00596_1/1/7,NA,NA
PTN01074,1/1/7,TO_PTN00461_3/2/11,NA,NA
PTN01322,1/1/7,TO_PTN00102_4/1/18,1,1000
PTN01114,1/1/7,TO_PTN00334_5/2/9,NA,NA
PTN00896,1/1/2,TO_PTN00485_LAG21,1,10
PTN00066,2/1/4,TO_PTN01168_1/1/5,NA,NA
PTN00259,6/2/2,TO_PTN00646_LAG25,1,10
PTN00626,1/1/7,TO_PTN00132_SYNCHRO:101,NA,NA
PTN00229,1/1/3,TO_PTN00227_LAG_21,1,10
PTN00877,1/1/7,TO_PTN00568_3/1/11,NA,NA
PTN02283,3/1/19,TO_PTN00489_LAG20,1,100
PTN00608,4/1/3,TO_PTN00606_LAG_22,1,10
PTN01407,2/1/1,TO_PTN00209_LAG23,1,10
PTN01351,1/5/7,TO_PTN02354_1/3/2,1,100
PTN01226,4/1/1,TO_PTN00774_LAG25,1,10
PTN00647,5/1/1,TO_PTN00026_LAG_25,1,10
PTN02385,4/1/11,TO_PTN00894_LAG22,1,10
PTN00901,2/2/6,TO_PTN00248_3/2/5,1,100
PTN00894,4/2/9,TO_PTN02325_1/1/1,NA,NA
PTN00261,1/1/1,TO_PTN00260_LAG21,1,10
PTN00009,2/1/3,TO_PTN00010_LAG_23,1,10
PTN00485,3/2/18,TO_PTN01831_1/3/1,1,100
PTN00001,2/1/1,TO_PTN00005_LAG22,1,10
PTN00258,9/2/4,TO_PTN00899_LAG_25,1,10
PTN00021,6/1/4,TO_PTN00164_1/7/1,1,100
PTN00278,3/1/5,TO_PTN00095_4/1/6,1,645
PTN01870,1/1/1,TO_PTN00337_LAG10,1,100
PTN01991,1/2/5,TO_PTN01401_5/1/5,non trouve,non trouve
PTN01757,1/2/7,TO_PTN01756_1/1/7,NA,NA
PTN00561,1/8/4,TO_PTN00810_4/1/5,1,100
PTN00125,4/2/14,TO_PTN01472_1/1/7,non trouve,non trouve
PTN01001,1/1/7,TO_PTN00331_5/1/13,NA,NA
PTN00480,5/1/3,TO_PTN00818_1/4/2,non trouve,non trouve
PTN00831,1/4/3,TO_PTN00645_3/2/7,non trouve,non trouve
PTN01361,1/1/7,TO_PTN01343_1/3/7,1,10
PTN01081,2/2/16,TO_PTN01292_1/4/3,non trouve,non trouve
PTN02300,1/1/4,TO_PTN00509_4/1/21,non trouve,non trouve
PTN01464,1/7/1,TO_PTN01426_3/1/1,1,100
PTN00332,3/1/1,TO_PTN01311_1/2/5,1,10
PTN02179,1/1/1,TO_PTN00644_4/2/10,1,1000
PTN02299,1/2/6,TO_PTN01405_2/1/4,1,1000
PTN00328,5/1/11,TO_PTN00518_1/1/7,NA,NA
PTN00037,1/1/2,TO_PTN01571_1/2/5,NA,NA
PTN00187,3/2/7,TO_PTN01317_1/1/7,NA,NA
PTN00095,9/2/2,TO_PTN00106_LAG_22,1,10
PTN02454,1/1/3,TO_PTN00666_LAG23,1,10
PTN00545,2/1/1,TO_PTN00546_LAG20,1,10
PTN02270,1/1/1,TO_PTN01329_1/2/7,NA,NA
PTN00892,1/2/1,TO_PTN00108_LAG23,1,10
PTN00271,1/1/1,TO_PTN00273_LAG_21,1,10
PTN00042,9/1/2,TO_PTN00108_LAG21,1,10
PTN01157,1/2/5,TO_PTN00611_3/1/1,1,10
PTN00206,1/1/1,TO_PTN00207_LAG_20,1,10
PTN00041,1/1/1,TO_PTN00038_LAG_24,1,10
PTN00804,2/1/1,TO_PTN00329_LAG20,1,10
PTN00043,1/1/2,TO_PTN00044_LAG_20,1,10
PTN00907,1/1/1,TO_PTN00908_LAG_22,1,10
PTN02196,1/3/6,TO_PTN02197_1/4/1,1,10000
PTN02325,1/1/1,TO_PTN00894_4/2/9,NA,NA
PTN01152,1/2/5,TO_PTN02416_1/2/5,1,10
PTN00466,3/2/7,TO_PTN00649_3/2/6,1,100
PTN00920,2/1/1,TO_PTN02367_LAG22,1,80
PTN00681,1/7/1,TO_PTN00238_7/1/7,1,100
PTN00282,1/1/1,TO_PTN00115_LAG21,1,10
PTN02458,1/3/1,TO_PTN01245_1/1/8,non trouve,non trouve
PTN02372,1/1/2,TO_PTN01402_4/2/12,1,110
PTN01449,3/1/1,TO_PTN01454_1/1/1,1,100
PTN00905,1/1/4,TO_PTN02336_LAG-20,1,10
PTN02193,1/1/2,TO_PTN02205_1/3/4,1,100
PTN00097,4/1/19,TO_PTN00445_1/1/7,NA,NA
PTN00645,4/1/2,TO_PTN00895_LAG_21,1,10
PTN01404,1/1/3,TO_PTN01731_LAG-20,1,10
PTN01157,1/3/8,TO_PTN00611_4/1/11,1,100
PTN00458,5/1/1,TO_PTN01014_LAG2,non trouve,non trouve
PTN02205,1/2/5,TO_PTN00975_4/1/5,1,100
PTN01443,1/1/1,TO_PTN00054_LAG23,1,10
PTN01801,1/2/5,TO_PTN00331_2/1/4,NA,NA
PTN00568,4/1/2,TO_PTN01053_LAG21,1,10
PTN00849,1/1/3,TO_PTN00327_LAG20,1,10
PTN00055,2/1/2,TO_PTN00006_LAG23,1,10
PTN00019,4/2/8,TO_PTN01188_1/1/7,NA,NA
PTN00015,3/1/1,TO_PTN00014_1/1/1,2,11
PTN02375,1/1/1,TO_PTN01406_3/2/1,1,100
PTN01194,1/1/7,TO_PTN00613_4/2/3,1,1000
PTN00055,1/1/2,TO_PTN00630_LAG21,1,10
PTN00255,9/1/12,TO_PTN00256_LAG20,1,11
PTN02276,1/1/1,TO_PTN00125_4/2/6,NA,NA
PTN00466,4/1/1,TO_PTN00650_3/1/1,1,100
PTN01236,1/1/4,TO_PTN00057_LAG26,1,50
PTN00278,3/2/6,TO_PTN00279_3/1/5,1,100
PTN00099,2/1/3,TO_PTN00097_LAG20,1,10
PTN00746,1/1/7,TO_PTN00132_4/1/19,NA,NA
PTN00130,4/1/2,TO_PTN01053_3/1/3,1,110
PTN00972,1/1/1,TO_PTN00255_1/1/3,1,1000
PTN00502,2/1/1,TO_PTN00341_LAG_20,1,10
PTN01406,1/1/2,TO_PTN00026_LAG_21,1,20
PTN00538,1/1/1,TO_PTN00766_LAG_20,1,10
PTN01324,1/1/7,TO_PTN01181_1/3/7,NA,NA
PTN00127,4/1/3,TO_PTN00128_LAG23,1,10
PTN00110,4/2/3,TO_PTN00111_LAG20,1,10
PTN00277,1/1/4,TO_PTN00341_LAG_21,1,10
PTN00126,4/1/1,TO_PTN01226_LAG23,1,40
PTN01280,1/4/7,TO_PTN01281_1/4/7,non trouve,non trouve
PTN00645,1/2/1,TO_PTN00894_LAG_20,1,10
PTN00034,4/2/17,TO_PTN00040_4/2/17,1,200
PTN02283,4/1/4,TO_PTN00483_LAG23,1,10
PTN00042,9/2/1,TO_PTN00034_LAG_24,1,10
PTN00337,2/1/2,TO_PTN00764_LAG21,1,10
PTN00469,1/1/1,TO_PTN00458_LAG20,1,10
PTN00046,3/1/1,TO_PTN01456_1/2/1,1,645
